primary_isbn13,ol_author_name,ol_publisher,ol_languages,ol_ebook_access,ol_has_fulltext,ol_public_scan,ol_internet_archive_ids,ol_edition_count,ol_number_of_pages,is_series,series_name,author_total_works,author_birth_date,ol_subjects,ol_first_publish_year
9781250365231,Harper L. Woods,"Doherty Associates, LLC, Tom",['eng'],no_ebook,False,False,[],4.0,336.0,False,,8,,[],2025.0
9781464227318,Freida McFadden,Poisoned Pen Press,['eng'],no_ebook,False,False,[],2.0,356.0,False,,49,1 May 1980,"['American literature', 'Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Suspense', 'Psychological Thriller', 'Horror']",2025.0
9780063411470,Anon9780063411470,HarperCollins Publishers,['eng'],no_ebook,False,False,[],1.0,304.0,False,,1,,[],2025.0
9780786051526,William W. Johnstone,Kensington Publishing Corporation,['eng'],no_ebook,False,False,[],1.0,336.0,False,,100,1938,[],2025.0
9781538774199,Callie Hart,Grand Central Publishing,['eng'],no_ebook,False,False,[],6.0,624.0,True,series:Fae & Alchemy,30,,"['Fantasy', 'Alternate Worlds', 'series:Fae & Alchemy']",2024.0
9780316582681,Kwame Alexander,"Little, Brown Books for Young Readers",['eng'],no_ebook,False,False,[],1.0,240.0,False,,22,,[],2025.0
9780385741279,E. Lockhart,Ember,['eng'],printdisabled,True,False,"['wewereliars0000lock', 'wewereliars0000lock_y8k2']",11.0,,False,,61,,"['Love', 'Wealth', 'Juvenile fiction', 'Fiction', 'Amnesia', 'Islands', 'Families', 'Friendship', 'Massachusetts', 'YOUNG ADULT FICTION']",2014.0
9780593735671,Kevin Fredericks,Potter/Ten Speed/Harmony/Rodale,['eng'],no_ebook,False,False,[],3.0,240.0,False,,2,,[],2025.0
9781649378545,Hannah Nicole Maehrer,Entangled Red Tower Books,['eng'],no_ebook,False,False,[],3.0,368.0,True,Series:Assistant-and-the-Villain,6,,"['Fantasy', 'Romance', 'Romantasy', 'Fiction', 'Magic', 'Fantasy Romance', 'Humor', 'Cozy Fantasy', 'Series:Assistant-and-the-Villain', 'Fiction, fantasy, humorous']",2025.0
9780735229358,Cori Doerrfeld,Dial Books for Young Readers,['eng'],printdisabled,True,False,['rabbitlistened0000doer'],10.0,32.0,False,,36,,"[""Children's Picture Books"", 'Animals', 'Juvenile fiction', 'Rabbits', 'Listening', ""Children's fiction"", 'Rabbits, fiction', 'Animals, fiction', 'nyt:picture-books=2021-03-21', 'New York Times bestseller']",2018.0
