primary_isbn13,nyt_title,nyt_author,nyt_published_date
9781728270173,WHAT WE DID TO SURVIVE,Megan Lally,2026-06-07
9781668072011,THE FOURTH OPTION,Jack Carr and M.P. Woodward,2026-05-31
9781250412539,THE LAST MANDARIN,Louise Penny and Mellissa Fung,2026-05-31
9780316601436,FURY BOUND,Sable Sorensen,2026-05-31
9781538778449,TRUE CRIME,Patricia Cornwell,2026-05-31
9781668221938,THE U.S. CONSTITUTION,Melissa Murray,2026-05-31
9780063446618,I AM NOT A ROBOT,Joanna Stern,2026-05-31
9780063445192,STRIPPED DOWN,Bunnie Xo,2026-05-31
9781982174248,THIS VAST ENTERPRISE,Craig Fehrman,2026-05-31
9780593537794,AMERICAN RAMBLER,Isaac Fitzgerald,2026-05-31
9781250412522,THE LAST MANDARIN,Louise Penny and Mellissa Fung,2026-05-31
9780316601412,FURY BOUND,Sable Sorensen,2026-05-31
9798217154746,THE THINGS WE NEVER SAY,Elizabeth Strout,2026-05-31
9781250374509,VENGEANCE,Tom Clavin,2026-05-31
9780593715710,INSIDE THE BOX,David Epstein,2026-05-31
9781728289779,KING OF GLUTTONY,Ana Huang,2026-05-31
9780593817445,FIRST AND FOREVER,Lynn Painter,2026-05-31
9780593875575,SALTWATER,Katy Hays,2026-05-31
9781538742570,THE HOUSEMAID,Freida McFadden,2026-05-31
9781464249624,DEAR DEBBIE,Freida McFadden,2026-05-31
9781640635333,THE LAST LETTER,Rebecca Yarros,2026-05-31
9780593438534,EVERY SUMMER AFTER,Carley Fortune,2026-05-31
9798217090907,FUTURE RICH PERSON,Haley Sacks,2026-05-31
9781523515646,THERE ARE MOMS WAY WORSE THAN YOU,Glenn Boozan,2026-05-31
9781400217106,OPERATION TRICK SHOT,Dude Perfect with Allan Woodrow,2026-05-31
9780063473973,HEROES OF 1776,Neil Gorsuch and Janie Nitze,2026-05-31
9781728235844,WHY A SON NEEDS A MOM,Gregory E. Lang,2026-05-31
9781454960430,WILL THE PIGEON GRADUATE?,Mo Willems,2026-05-31
9781338878929,HARRY POTTER,J.K. Rowling,2026-05-31
9780061992278,THE ONE AND ONLY,Katherine Applegate,2026-05-31
9780063481152,THE THORN QUEEN,Sasha Peyton Smith,2026-05-31
9780593905180,YOUNG WORLD,Soman Chainani,2026-05-31
9780316569828,26 BEAUTIES,James Patterson,2026-05-24
9780063204171,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,2026-05-24
9781250827012,PLATFORM DECAY,Martha Wells,2026-05-24
9781464243677,RULES FOR THE SUMMER,Meghan Quinn,2026-05-24
9780593733325,STRANGERS,Belle Burden,2026-05-24
9780316601122,MAKE BELIEVE,Mac Barnett,2026-05-24
9798893311846,ROOKIE,Joshua Taylor Bassett,2026-05-24
9798217198009,WHEN WE SEE YOU AGAIN,Rachel Goldberg-Polin,2026-05-24
9781982181000,BACKTALKER,Kimberlé Williams Crenshaw,2026-05-24
9781250827005,PLATFORM DECAY,Martha Wells,2026-05-24
9780802167194,JOHN OF JOHN,Douglas Stuart,2026-05-24
9780316580595,THE MOTHER-DAUGHTER BOOK CLUB,Susan Patterson and James Patterson,2026-05-24
9781464244674,TWISTED,Emily McIntire,2026-05-24
9781538759226,THE NIGHT WE MET,Abby Jimenez,2026-05-24
9781668030554,A COURSE CALLED HOME,Tom Coyne,2026-05-24
9780736993951,THE NEXT WAR,Amir Tsarfati and Steve Yohn,2026-05-24
9781464249600,WANT TO KNOW A SECRET?,Freida McFadden,2026-05-24
9781250301703,THE SILENT PATIENT,Alex Michaelides,2026-05-24
9780764243660,THE JESUS DISCOVERIES,Jeremiah J. Johnston,2026-05-24
9780593719336,THROUGH MOM'S EYES,Sheinelle Jones,2026-05-24
9780593545423,THE MEANING OF YOUR LIFE,Arthur C. Brooks,2026-05-24
9798217087808,THE POWER OF BELIEFS,Shawn Achor,2026-05-24
9781637635247,BECOMING A PRINCIPLE-DRIVEN LEADER,Charles Koch and Chase Koch,2026-05-24
9781668087473,THE TRIBE AND I HAVE SPOKEN,Rob Cesternino with Alex Kavutskiy,2026-05-24
9780545880831,REFUGEE,Alan Gratz,2026-05-24
9781665942485,GROWING HOME,Beth Ferry,2026-05-24
9781492667810,WHY A DAUGHTER NEEDS A MOM,Gregory E. Lang,2026-05-24
9798217116546,JIMMY BUFFETT,Donna Rocco,2026-05-24
9780593523155,I LOVE GRANDMA WITH THE VERY HUNGRY CATERPILLAR,Eric Carle,2026-05-24
9780451533463,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,Eric Carle,2026-05-24
9781464268335,THE ACADEMY,T.Z. Layton,2026-05-24
9798225003296,DRAGON MASTERS,Tracey West,2026-05-24
9780316382007,THE WILD ROBOT,Peter Brown,2026-05-24
9781250421784,DIVINE RIVALS,Rebecca Ross,2026-05-24
9781538758021,HOPE RISES,David Baldacci,2026-05-17
9780063486560,PURPLE STATE,Dana Perino,2026-05-17
9781668233139,BLOOD BOUND,Ellis Hunter,2026-05-17
9781464265570,BULLETPROOF,K.M. Moronova,2026-05-17
9780063305762,A DEADLY EPISODE,Anthony Horowitz,2026-05-17
9781496758071,THE THRONE OF BROKEN GODS,Amber V. Nicole,2026-05-17
9781250881236,WE BURNED SO BRIGHT,TJ Klune,2026-05-17
9781400257140,BROKEN PLEA,Christopher Whitcomb,2026-05-17
9780063441880,THIS IS NOT ABOUT RUNNING,Mary Cain,2026-05-17
9781250448125,DRIVEN,Susie Wolff,2026-05-17
9780063349711,THE STORY OF BIRDS,Steve Brusatte,2026-05-17
9781635426038,WHEN THE WORLD SLEEPS,Francesca Albanese,2026-05-17
9798891886360,ISRAEL ON TRIAL,Roy K. Altman,2026-05-17
9780316579834,JUDGE STONE,Viola Davis and James Patterson,2026-05-17
9798217091676,CHASING THE CLOUDS AWAY,Debbie Macomber,2026-05-17
9781682816752,RITES OF THE STARLING,Devney Perry,2026-05-17
9781510786202,TRUMP 2.0,Sean Spicer,2026-05-17
9798217086511,THE FUTURE IS PEACE,Aziz Abu Sarah and Maoz Inon,2026-05-17
9798228646087,THE PERFECT DIVORCE,Jeneva Rose,2026-05-17
9781335534637,HEATED RIVALRY,Rachel Reid,2026-05-17
9781638932239,LIGHTS OUT,Navessa Allen,2026-05-17
9780349132617,THE HOUSEMAID'S SECRET,Freida McFadden,2026-05-17
9798217045235,UNREASONABLE HOSPITALITY: THE FIELD GUIDE,Will Guidara,2026-05-17
9780316595551,INVINCIBLE,Florence Comite,2026-05-17
9798318602597,REWIRED,"Nick Ortner, Jessica Ortner and Alex Ortner",2026-05-17
9780593719015,ZARIZ,Adeena Sussman,2026-05-17
9781510788022,ONE SCAN SAVED MY LIFE,Shira Kupperman Boehler,2026-05-17
9781492670025,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,2026-05-17
9780593712047,FORBIDDEN MOUNTAIN,Brandon Mull,2026-05-17
9781250387189,THE UNLIKELY TALE OF CHASE AND FINNEGAN,Jasmine Warga,2026-05-17
9781464258183,THE SUN THIEF,Alice Hemming,2026-05-17
9781797226590,CONSTRUCTION SITE: FIREFIGHT!,Sherri Duskey Rinker,2026-05-17
9781454999621,IT'S MY BIRD-DAY!,Mo Willems,2026-05-17
9798217233977,FOR THE FANS!,Angela Song,2026-05-17
9781419760877,LIGHTLARK SAGA,Alex Aster,2026-05-17
9781368098458,WINGS OF STARLIGHT,Allison Saft,2026-05-17
9781649379511,A STAGE SET FOR VILLAINS,Shannon J. Spann,2026-05-17
9780593973080,A WOMAN'S PLACE,Danielle Steel,2026-05-10
9781250413918,PARADOX,Douglas Preston and Aletheia Preston,2026-05-10
9781250284549,MAD MABEL,Sally Hepworth,2026-05-10
9780063433229,SHADOW STRIKE,Brad Taylor,2026-05-10
9780316594929,YOU WITH THE SAD EYES,Christina Applegate,2026-05-10
9781984881991,A WORLD APPEARS,Michael Pollan,2026-05-10
9781541607132,ALITO,Mollie Hemingway,2026-05-10
9780593489093,THE ROLLING STONES,Bob Spitz,2026-05-10
9781250404282,FOR THE LOVE OF THE GRIND,Sara Hall,2026-05-10
9781250413901,PARADOX,Douglas Preston and Aletheia Preston,2026-05-10
9781982198817,THE CARETAKER,Marcus Kliewer,2026-05-10
9798217176632,GO GENTLE,Maria Semple,2026-05-10
9780593800928,LAST BRANCH STANDING,Sarah Isgur,2026-05-10
9780593493120,NOBODY'S GIRL,Virginia Roberts Giuffre,2026-05-10
9781464261817,FROZEN BY STARDUST,Elizabeth Helen,2026-05-10
9780063451636,COME EAT,Melissa Ben-Ishay,2026-05-10
9781538780947,"DUTY, HONOR, COUNTRY & LIFE",William H. McRaven,2026-05-10
9781638933328,THE WELL-EDUCATED CHILD,Deborah Kenny,2026-05-10
9780764245329,CAPABLE,Sissy Goff and David Thomas,2026-05-10
9781338766875,THEFT OF THE RUBY LOTUS,Sayantani DasGupta,2026-05-10
